record_id	paper_id
R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov
R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts
R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate
R019	spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel
R020	development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga
R021	a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells
R022	low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati
R024	sustainable-alternatives-to-fetal-bovine-serum-evaluating-the-role-of-plant-and
R029	the-role-of-insulin-in-the-proliferation-and-differentiation-of-bovine-muscle-sa
R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f
R046	serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant
R047	satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative
